customer_id,Total_Spending,Purchase_Frequency,Total_Quantity,Avg_Spending,Age
C100175,9602.72,1,4,9602.72,22.0
C100176,2700.7200000000003,1,3,2700.7200000000003,54.0
C100181,896.0,1,5,896.0,33.0
C100182,293.25,1,5,293.25,37.0
C100184,4200.0,1,2,4200.0,29.0
C100188,573.44,1,4,573.44,42.0
C100189,322.56,1,3,322.56,33.0
C100190,35.84,1,1,35.84,37.0
C100198,162.64,1,2,162.64,63.0
C100199,16800.0,1,4,16800.0,35.0
C100201,300.08,1,1,300.08,64.0
C100204,1016.5,1,5,1016.5,59.0
C100211,9602.72,1,4,9602.72,62.0
C100218,7502.0,1,5,7502.0,26.0
C100221,9602.72,1,4,9602.72,30.0
C100225,143.36,1,2,143.36,26.0
C100232,600.17,1,1,600.17,24.0
C100235,2700.7200000000003,1,3,2700.7200000000003,66.0
C100236,1200.32,1,2,1200.32,59.0
C100241,650.56,1,4,650.56,28.0
C100242,5.23,1,1,5.23,25.0
C100246,1200.32,1,2,1200.32,25.0
C100247,2400.68,1,2,2400.68,21.0
C100253,600.17,1,1,600.17,62.0
C100254,16800.0,1,4,16800.0,52.0
C100256,47.07,1,3,47.07,38.0
C100259,143.36,1,2,143.36,22.0
C100261,4801.28,1,4,4801.28,63.0
C100272,83.68,1,4,83.68,23.0
C100273,300.08,1,1,300.08,40.0
C100281,1200.32,1,2,1200.32,38.0
C100282,1200.32,1,2,1200.32,31.0
C100283,1200.32,1,2,1200.32,42.0
C100284,9450.0,1,3,9450.0,52.0
C100285,300.08,1,1,300.08,45.0
C100286,4801.28,1,4,4801.28,58.0
C100291,105.57,1,3,105.57,39.0
C100297,365.94,1,3,365.94,39.0
C100298,2700.7200000000003,1,3,2700.7200000000003,31.0
C100299,15.15,1,1,15.15,22.0
C100301,15.15,1,1,15.15,19.0
C100305,300.08,1,1,300.08,44.0
C100306,26250.0,1,5,26250.0,35.0
C100307,300.08,1,1,300.08,51.0
C100309,1200.32,1,2,1200.32,53.0
C100311,650.56,1,4,650.56,66.0
C100313,7502.0,1,5,7502.0,52.0
C100314,162.64,1,2,162.64,24.0
C100315,7502.0,1,5,7502.0,60.0
C100322,26250.0,1,5,26250.0,24.0
C100329,20.92,1,2,20.92,36.0
C100330,322.56,1,3,322.56,42.0
C100331,9602.72,1,4,9602.72,23.0
C100333,7502.0,1,5,7502.0,32.0
C100336,2700.7200000000003,1,3,2700.7200000000003,55.0
C100346,7502.0,1,5,7502.0,63.0
C100347,2400.68,1,2,2400.68,58.0
C100349,7502.0,1,5,7502.0,40.0
C100355,162.64,1,2,162.64,23.0
C100361,47.07,1,3,47.07,40.0
C100364,7502.0,1,5,7502.0,57.0
C100367,11.73,1,1,11.73,51.0
C100368,650.56,1,4,650.56,50.0
C100369,7502.0,1,5,7502.0,57.0
C100376,136.35000000000002,1,3,136.35000000000002,38.0
C100379,2400.68,1,2,2400.68,20.0
C100383,5.23,1,1,5.23,27.0
C100384,242.4,1,4,242.4,64.0
C100386,2700.7200000000003,1,3,2700.7200000000003,66.0
C100398,300.08,1,1,300.08,52.0
C100400,300.08,1,1,300.08,60.0
C100401,7502.0,1,5,7502.0,35.0
C100402,300.08,1,1,300.08,30.0
C100403,7502.0,1,5,7502.0,53.0
C100404,47.07,1,3,47.07,36.0
C100406,7502.0,1,5,7502.0,68.0
C100410,2700.7200000000003,1,3,2700.7200000000003,58.0
C100415,11.73,1,1,11.73,57.0
C100416,5.23,1,1,5.23,64.0
C100420,4801.28,1,4,4801.28,53.0
C100421,600.17,1,1,600.17,22.0
C100427,365.94,1,3,365.94,36.0
C100438,4801.28,1,4,4801.28,34.0
C100439,143.36,1,2,143.36,52.0
C100440,5.23,1,1,5.23,32.0
C100441,2700.7200000000003,1,3,2700.7200000000003,35.0
C100444,650.56,1,4,650.56,66.0
C100446,573.44,1,4,573.44,27.0
C100449,20.92,1,2,20.92,42.0
C100451,9602.72,1,4,9602.72,32.0
C100454,4801.28,1,4,4801.28,51.0
C100455,2700.7200000000003,1,3,2700.7200000000003,45.0
C100459,47.07,1,3,47.07,26.0
C100462,5401.53,1,3,5401.53,54.0
C100463,20.92,1,2,20.92,48.0
C100467,130.75,1,5,130.75,57.0
C100471,365.94,1,3,365.94,40.0
C100472,5.23,1,1,5.23,64.0
C100473,20.92,1,2,20.92,66.0
C100474,7502.0,1,5,7502.0,28.0
C100477,83.68,1,4,83.68,45.0
C100478,896.0,1,5,896.0,29.0
C100481,242.4,1,4,242.4,49.0
C100484,573.44,1,4,573.44,48.0
C100488,47.07,1,3,47.07,57.0
C100490,4801.28,1,4,4801.28,36.0
C100493,143.36,1,2,143.36,53.0
C100494,9450.0,1,3,9450.0,38.0
C100496,2400.68,1,2,2400.68,53.0
C100507,7502.0,1,5,7502.0,33.0
C100508,2700.7200000000003,1,3,2700.7200000000003,22.0
C100515,573.44,1,4,573.44,46.0
C100519,1200.32,1,2,1200.32,55.0
C100521,322.56,1,3,322.56,62.0
C100523,4801.28,1,4,4801.28,31.0
C100525,1200.32,1,2,1200.32,36.0
C100529,47.07,1,3,47.07,19.0
C100535,35.84,1,1,35.84,67.0
C100539,293.25,1,5,293.25,28.0
C100540,20.92,1,2,20.92,48.0
C100544,365.94,1,3,365.94,40.0
C100545,16800.0,1,4,16800.0,68.0
C100549,1016.5,1,5,1016.5,48.0
C100551,1050.0,1,1,1050.0,32.0
C100561,9602.72,1,4,9602.72,66.0
C100563,300.08,1,1,300.08,20.0
C100570,7502.0,1,5,7502.0,62.0
C100572,2700.7200000000003,1,3,2700.7200000000003,29.0
C100574,1200.32,1,2,1200.32,27.0
C100576,4801.28,1,4,4801.28,30.0
C100579,365.94,1,3,365.94,28.0
C100587,143.36,1,2,143.36,57.0
C100599,7502.0,1,5,7502.0,28.0
C100605,130.75,1,5,130.75,48.0
C100606,4801.28,1,4,4801.28,25.0
C100607,26250.0,1,5,26250.0,54.0
C100610,300.08,1,1,300.08,37.0
C100622,143.36,1,2,143.36,23.0
C100625,11.73,1,1,11.73,27.0
C100629,896.0,1,5,896.0,62.0
C100630,5401.53,1,3,5401.53,69.0
C100636,896.0,1,5,896.0,38.0
C100639,2700.7200000000003,1,3,2700.7200000000003,44.0
C100640,1200.32,1,2,1200.32,22.0
C100642,2400.68,1,2,2400.68,63.0
C100648,2700.7200000000003,1,3,2700.7200000000003,25.0
C100651,1050.0,1,1,1050.0,58.0
C100654,2700.7200000000003,1,3,2700.7200000000003,19.0
C100655,162.64,1,2,162.64,22.0
C100656,7502.0,1,5,7502.0,63.0
C100657,187.68,1,4,187.68,69.0
C100661,5401.53,1,3,5401.53,19.0
C100663,5.23,1,1,5.23,52.0
C100666,143.36,1,2,143.36,50.0
C100671,1200.32,1,2,1200.32,44.0
C100672,7502.0,1,5,7502.0,25.0
C100676,2700.7200000000003,1,3,2700.7200000000003,26.0
C100677,2700.7200000000003,1,3,2700.7200000000003,51.0
C100684,35.84,1,1,35.84,38.0
C100687,7502.0,1,5,7502.0,59.0
C100688,105.57,1,3,105.57,39.0
C100690,9602.72,1,4,9602.72,36.0
C100691,600.17,1,1,600.17,51.0
C100694,83.68,1,4,83.68,61.0
C100696,5401.53,1,3,5401.53,39.0
C100697,1016.5,1,5,1016.5,40.0
C100703,1016.5,1,5,1016.5,47.0
C100705,1200.32,1,2,1200.32,21.0
C100706,5401.53,1,3,5401.53,43.0
C100709,15004.25,1,5,15004.25,52.0
C100710,242.4,1,4,242.4,36.0
C100713,9450.0,1,3,9450.0,23.0
C100718,573.44,1,4,573.44,39.0
C100720,2700.7200000000003,1,3,2700.7200000000003,52.0
C100722,11.73,1,1,11.73,41.0
C100725,300.08,1,1,300.08,55.0
C100728,300.08,1,1,300.08,50.0
C100735,650.56,1,4,650.56,57.0
C100736,300.08,1,1,300.08,35.0
C100743,322.56,1,3,322.56,54.0
C100745,16800.0,1,4,16800.0,46.0
C100746,143.36,1,2,143.36,54.0
C100748,600.17,1,1,600.17,35.0
C100753,20.92,1,2,20.92,44.0
C100754,650.56,1,4,650.56,54.0
C100758,2700.7200000000003,1,3,2700.7200000000003,56.0
C100760,4801.28,1,4,4801.28,45.0
C100764,2700.7200000000003,1,3,2700.7200000000003,54.0
C100765,40.66,1,1,40.66,20.0
C100768,47.07,1,3,47.07,65.0
C100772,4801.28,1,4,4801.28,45.0
C100778,600.17,1,1,600.17,69.0
C100782,5401.53,1,3,5401.53,22.0
C100783,20.92,1,2,20.92,58.0
C100786,1200.32,1,2,1200.32,44.0
C100787,650.56,1,4,650.56,35.0
C100794,40.66,1,1,40.66,19.0
C100795,242.4,1,4,242.4,44.0
C100797,5401.53,1,3,5401.53,31.0
C100799,162.64,1,2,162.64,30.0
C100801,1016.5,1,5,1016.5,41.0
C100804,40.66,1,1,40.66,29.0
C100812,9450.0,1,3,9450.0,46.0
C100816,130.75,1,5,130.75,20.0
C100822,7502.0,1,5,7502.0,35.0
C100828,300.08,1,1,300.08,63.0
C100833,896.0,1,5,896.0,40.0
C100840,4801.28,1,4,4801.28,40.0
C100841,1200.32,1,2,1200.32,28.0
C100843,322.56,1,3,322.56,61.0
C100844,2400.68,1,2,2400.68,33.0
C100849,300.08,1,1,300.08,27.0
C100851,2700.7200000000003,1,3,2700.7200000000003,50.0
C100852,130.75,1,5,130.75,31.0
C100854,300.08,1,1,300.08,66.0
C100857,9602.72,1,4,9602.72,67.0
C100867,4801.28,1,4,4801.28,67.0
C100869,322.56,1,3,322.56,65.0
C100879,7502.0,1,5,7502.0,65.0
C100885,83.68,1,4,83.68,40.0
C100894,1200.32,1,2,1200.32,59.0
C100895,11.73,1,1,11.73,55.0
C100899,365.94,1,3,365.94,57.0
C100900,162.64,1,2,162.64,30.0
C100901,15004.25,1,5,15004.25,45.0
C100902,600.17,1,1,600.17,23.0
C100910,5401.53,1,3,5401.53,61.0
C100911,4801.28,1,4,4801.28,47.0
C100919,60.6,1,2,60.6,69.0
C100921,573.44,1,4,573.44,18.0
C100926,4200.0,1,2,4200.0,57.0
C100931,300.08,1,1,300.08,27.0
C100935,4801.28,1,4,4801.28,57.0
C100936,2700.7200000000003,1,3,2700.7200000000003,32.0
C100940,1200.32,1,2,1200.32,24.0
C100941,4801.28,1,4,4801.28,26.0
C100944,1200.32,1,2,1200.32,27.0
C100948,365.94,1,3,365.94,33.0
C100952,2700.7200000000003,1,3,2700.7200000000003,39.0
C100955,105.57,1,3,105.57,48.0
C100960,5.23,1,1,5.23,54.0
C100962,20.92,1,2,20.92,44.0
C100966,650.56,1,4,650.56,56.0
C100978,300.08,1,1,300.08,23.0
C100979,4801.28,1,4,4801.28,27.0
C100980,7502.0,1,5,7502.0,40.0
C100986,4801.28,1,4,4801.28,47.0
C100987,47.07,1,3,47.07,62.0
C100994,1016.5,1,5,1016.5,60.0
C101001,1200.32,1,2,1200.32,29.0
C101002,4801.28,1,4,4801.28,29.0
C101004,2400.68,1,2,2400.68,18.0
C101010,15004.25,1,5,15004.25,46.0
C101014,300.08,1,1,300.08,49.0
C101018,300.08,1,1,300.08,28.0
C101024,7502.0,1,5,7502.0,28.0
C101027,5.23,1,1,5.23,41.0
C101034,46.92,1,2,46.92,41.0
C101035,136.35000000000002,1,3,136.35000000000002,18.0
C101038,1200.32,1,2,1200.32,45.0
C101041,16800.0,1,4,16800.0,38.0
C101045,2400.68,1,2,2400.68,33.0
C101052,40.66,1,1,40.66,65.0
C101054,130.75,1,5,130.75,24.0
C101055,378.75,1,5,378.75,46.0
C101061,1200.32,1,2,1200.32,57.0
C101064,1200.32,1,2,1200.32,66.0
C101067,4801.28,1,4,4801.28,30.0
C101068,896.0,1,5,896.0,52.0
C101069,4801.28,1,4,4801.28,18.0
C101071,7502.0,1,5,7502.0,19.0
C101072,600.17,1,1,600.17,65.0
C101074,1200.32,1,2,1200.32,53.0
C101078,5.23,1,1,5.23,57.0
C101079,1016.5,1,5,1016.5,20.0
C101080,7502.0,1,5,7502.0,34.0
C101082,20.92,1,2,20.92,25.0
C101084,365.94,1,3,365.94,60.0
C101089,83.68,1,4,83.68,26.0
C101095,650.56,1,4,650.56,45.0
C101097,1016.5,1,5,1016.5,18.0
C101099,47.07,1,3,47.07,23.0
C101100,2700.7200000000003,1,3,2700.7200000000003,25.0
C101108,600.17,1,1,600.17,66.0
C101115,365.94,1,3,365.94,21.0
C101116,1200.32,1,2,1200.32,47.0
C101117,105.57,1,3,105.57,52.0
C101119,573.44,1,4,573.44,43.0
C101120,1200.32,1,2,1200.32,68.0
C101125,4801.28,1,4,4801.28,38.0
C101131,322.56,1,3,322.56,54.0
C101132,46.92,1,2,46.92,36.0
C101133,60.6,1,2,60.6,46.0
C101134,9450.0,1,3,9450.0,51.0
C101135,9450.0,1,3,9450.0,44.0
C101136,130.75,1,5,130.75,30.0
C101137,143.36,1,2,143.36,22.0
C101138,365.94,1,3,365.94,24.0
C101143,7502.0,1,5,7502.0,46.0
C101154,187.68,1,4,187.68,39.0
C101173,162.64,1,2,162.64,52.0
C101188,600.17,1,1,600.17,20.0
C101196,650.56,1,4,650.56,41.0
C101204,300.08,1,1,300.08,47.0
C101205,4801.28,1,4,4801.28,60.0
C101206,46.92,1,2,46.92,47.0
C101208,40.66,1,1,40.66,44.0
C101209,9450.0,1,3,9450.0,46.0
C101210,4200.0,1,2,4200.0,44.0
C101212,162.64,1,2,162.64,35.0
C101216,26250.0,1,5,26250.0,68.0
C101217,20.92,1,2,20.92,41.0
C101220,7502.0,1,5,7502.0,24.0
C101221,365.94,1,3,365.94,39.0
C101222,4801.28,1,4,4801.28,62.0
C101225,2400.68,1,2,2400.68,38.0
C101227,2700.7200000000003,1,3,2700.7200000000003,30.0
C101229,300.08,1,1,300.08,61.0
C101235,4801.28,1,4,4801.28,46.0
C101236,300.08,1,1,300.08,66.0
C101238,15.15,1,1,15.15,22.0
C101248,47.07,1,3,47.07,19.0
C101249,46.92,1,2,46.92,60.0
C101250,130.75,1,5,130.75,40.0
C101251,40.66,1,1,40.66,49.0
C101253,7502.0,1,5,7502.0,53.0
C101259,46.92,1,2,46.92,60.0
C101261,1016.5,1,5,1016.5,31.0
C101271,83.68,1,4,83.68,37.0
C101278,2700.7200000000003,1,3,2700.7200000000003,59.0
C101285,162.64,1,2,162.64,37.0
C101287,300.08,1,1,300.08,64.0
C101288,322.56,1,3,322.56,50.0
C101290,47.07,1,3,47.07,47.0
C101294,5401.53,1,3,5401.53,28.0
C101295,20.92,1,2,20.92,31.0
C101301,600.17,1,1,600.17,65.0
C101303,5401.53,1,3,5401.53,31.0
C101307,896.0,1,5,896.0,25.0
C101308,4801.28,1,4,4801.28,37.0
C101314,1016.5,1,5,1016.5,31.0
C101316,4801.28,1,4,4801.28,24.0
C101318,896.0,1,5,896.0,36.0
C101320,15004.25,1,5,15004.25,27.0
C101327,9602.72,1,4,9602.72,52.0
C101329,162.64,1,2,162.64,36.0
C101337,4801.28,1,4,4801.28,49.0
C101343,35.84,1,1,35.84,49.0
C101344,26250.0,1,5,26250.0,31.0
C101347,60.6,1,2,60.6,37.0
C101351,46.92,1,2,46.92,56.0
C101356,300.08,1,1,300.08,32.0
C101359,4801.28,1,4,4801.28,42.0
C101362,573.44,1,4,573.44,30.0
C101363,300.08,1,1,300.08,64.0
C101364,4801.28,1,4,4801.28,61.0
C101365,130.75,1,5,130.75,35.0
C101367,162.64,1,2,162.64,18.0
C101368,300.08,1,1,300.08,68.0
C101370,20.92,1,2,20.92,21.0
C101375,130.75,1,5,130.75,48.0
C101377,130.75,1,5,130.75,27.0
C101382,20.92,1,2,20.92,53.0
C101384,1200.32,1,2,1200.32,19.0
C101386,293.25,1,5,293.25,18.0
C101391,1016.5,1,5,1016.5,49.0
C101393,2700.7200000000003,1,3,2700.7200000000003,60.0
C101397,2700.7200000000003,1,3,2700.7200000000003,25.0
C101401,1050.0,1,1,1050.0,30.0
C101404,4200.0,1,2,4200.0,54.0
C101405,300.08,1,1,300.08,20.0
C101406,9602.72,1,4,9602.72,41.0
C101407,9602.72,1,4,9602.72,48.0
C101410,1200.32,1,2,1200.32,32.0
C101411,1016.5,1,5,1016.5,24.0
C101412,2700.7200000000003,1,3,2700.7200000000003,30.0
C101413,2700.7200000000003,1,3,2700.7200000000003,40.0
C101414,650.56,1,4,650.56,59.0
C101419,7502.0,1,5,7502.0,45.0
C101420,2700.7200000000003,1,3,2700.7200000000003,31.0
C101422,322.56,1,3,322.56,18.0
C101423,2700.7200000000003,1,3,2700.7200000000003,35.0
C101425,2400.68,1,2,2400.68,30.0
C101427,26250.0,1,5,26250.0,32.0
C101428,15004.25,1,5,15004.25,22.0
C101429,2700.7200000000003,1,3,2700.7200000000003,46.0
C101432,15004.25,1,5,15004.25,30.0
C101433,20.92,1,2,20.92,40.0
C101438,322.56,1,3,322.56,54.0
C101451,1200.32,1,2,1200.32,54.0
C101452,2700.7200000000003,1,3,2700.7200000000003,31.0
C101466,1200.32,1,2,1200.32,46.0
C101471,322.56,1,3,322.56,44.0
C101472,40.66,1,1,40.66,57.0
C101475,5.23,1,1,5.23,53.0
C101478,4801.28,1,4,4801.28,19.0
C101482,136.35000000000002,1,3,136.35000000000002,23.0
C101484,2700.7200000000003,1,3,2700.7200000000003,42.0
C101489,300.08,1,1,300.08,60.0
C101494,46.92,1,2,46.92,69.0
C101503,4801.28,1,4,4801.28,24.0
C101508,4801.28,1,4,4801.28,60.0
C101509,322.56,1,3,322.56,23.0
C101518,7502.0,1,5,7502.0,52.0
C101521,162.64,1,2,162.64,69.0
C101522,20.92,1,2,20.92,55.0
C101523,650.56,1,4,650.56,60.0
C101525,46.92,1,2,46.92,53.0
C101526,143.36,1,2,143.36,33.0
C101527,35.84,1,1,35.84,67.0
C101529,365.94,1,3,365.94,49.0
C101531,136.35000000000002,1,3,136.35000000000002,62.0
C101537,4801.28,1,4,4801.28,46.0
C101541,7502.0,1,5,7502.0,53.0
C101543,1200.32,1,2,1200.32,69.0
C101545,573.44,1,4,573.44,58.0
C101546,5.23,1,1,5.23,42.0
C101550,2400.68,1,2,2400.68,35.0
C101556,2700.7200000000003,1,3,2700.7200000000003,47.0
C101558,4801.28,1,4,4801.28,35.0
C101559,11.73,1,1,11.73,63.0
C101560,83.68,1,4,83.68,20.0
C101561,650.56,1,4,650.56,49.0
C101564,83.68,1,4,83.68,40.0
C101566,300.08,1,1,300.08,62.0
C101568,5.23,1,1,5.23,23.0
C101575,5.23,1,1,5.23,68.0
C101576,1200.32,1,2,1200.32,41.0
C101579,365.94,1,3,365.94,59.0
C101580,162.64,1,2,162.64,48.0
C101584,4801.28,1,4,4801.28,36.0
C101594,20.92,1,2,20.92,67.0
C101595,2700.7200000000003,1,3,2700.7200000000003,22.0
C101600,5.23,1,1,5.23,39.0
C101605,187.68,1,4,187.68,39.0
C101610,4801.28,1,4,4801.28,65.0
C101612,378.75,1,5,378.75,37.0
C101618,9602.72,1,4,9602.72,49.0
C101624,7502.0,1,5,7502.0,57.0
C101629,300.08,1,1,300.08,20.0
C101633,1200.32,1,2,1200.32,25.0
C101640,40.66,1,1,40.66,46.0
C101643,1016.5,1,5,1016.5,37.0
C101646,1200.32,1,2,1200.32,68.0
C101647,187.68,1,4,187.68,47.0
C101651,650.56,1,4,650.56,50.0
C101652,573.44,1,4,573.44,41.0
C101654,35.84,1,1,35.84,28.0
C101655,1050.0,1,1,1050.0,50.0
C101656,7502.0,1,5,7502.0,21.0
C101657,143.36,1,2,143.36,64.0
C101662,9450.0,1,3,9450.0,46.0
C101663,35.84,1,1,35.84,41.0
C101666,130.75,1,5,130.75,50.0
C101667,26250.0,1,5,26250.0,23.0
C101669,1016.5,1,5,1016.5,61.0
C101672,40.66,1,1,40.66,27.0
C101673,896.0,1,5,896.0,40.0
C101689,2700.7200000000003,1,3,2700.7200000000003,57.0
C101690,130.75,1,5,130.75,68.0
C101691,365.94,1,3,365.94,44.0
C101693,5401.53,1,3,5401.53,23.0
C101694,300.08,1,1,300.08,51.0
C101695,7502.0,1,5,7502.0,18.0
C101697,1200.32,1,2,1200.32,54.0
C101709,378.75,1,5,378.75,68.0
C101710,365.94,1,3,365.94,33.0
C101711,293.25,1,5,293.25,31.0
C101716,162.64,1,2,162.64,26.0
C101723,365.94,1,3,365.94,24.0
C101725,40.66,1,1,40.66,61.0
C101726,242.4,1,4,242.4,59.0
C101733,365.94,1,3,365.94,44.0
C101737,300.08,1,1,300.08,26.0
C101742,83.68,1,4,83.68,20.0
C101743,83.68,1,4,83.68,35.0
C101744,20.92,1,2,20.92,62.0
C101746,7502.0,1,5,7502.0,66.0
C101747,47.07,1,3,47.07,47.0
C101751,162.64,1,2,162.64,32.0
C101755,1200.32,1,2,1200.32,56.0
C101756,4801.28,1,4,4801.28,24.0
C101757,47.07,1,3,47.07,58.0
C101758,7502.0,1,5,7502.0,21.0
C101764,5.23,1,1,5.23,66.0
C101767,322.56,1,3,322.56,40.0
C101768,143.36,1,2,143.36,63.0
C101770,5.23,1,1,5.23,64.0
C101771,1016.5,1,5,1016.5,48.0
C101773,130.75,1,5,130.75,54.0
C101775,7502.0,1,5,7502.0,49.0
C101776,47.07,1,3,47.07,56.0
C101779,130.75,1,5,130.75,27.0
C101781,1200.32,1,2,1200.32,26.0
C101786,573.44,1,4,573.44,59.0
C101788,26250.0,1,5,26250.0,66.0
C101790,1016.5,1,5,1016.5,65.0
C101791,15004.25,1,5,15004.25,37.0
C101793,20.92,1,2,20.92,52.0
C101803,5.23,1,1,5.23,33.0
C101806,4801.28,1,4,4801.28,31.0
C101810,11.73,1,1,11.73,45.0
C101817,4801.28,1,4,4801.28,45.0
C101818,2700.7200000000003,1,3,2700.7200000000003,56.0
C101820,7502.0,1,5,7502.0,28.0
C101822,1200.32,1,2,1200.32,54.0
C101824,300.08,1,1,300.08,22.0
C101833,15.15,1,1,15.15,69.0
C101835,365.94,1,3,365.94,29.0
C101839,40.66,1,1,40.66,49.0
C101843,83.68,1,4,83.68,18.0
C101845,20.92,1,2,20.92,28.0
C101852,573.44,1,4,573.44,55.0
C101853,1016.5,1,5,1016.5,38.0
C101855,300.08,1,1,300.08,52.0
C101856,5401.53,1,3,5401.53,38.0
C101863,2400.68,1,2,2400.68,68.0
C101866,300.08,1,1,300.08,66.0
C101871,2700.7200000000003,1,3,2700.7200000000003,22.0
C101875,5.23,1,1,5.23,57.0
C101878,650.56,1,4,650.56,39.0
C101882,20.92,1,2,20.92,67.0
C101883,896.0,1,5,896.0,37.0
C101885,130.75,1,5,130.75,41.0
C101886,293.25,1,5,293.25,45.0
C101893,365.94,1,3,365.94,56.0
C101897,4801.28,1,4,4801.28,60.0
C101898,143.36,1,2,143.36,57.0
C101904,20.92,1,2,20.92,38.0
C101908,46.92,1,2,46.92,41.0
C101912,9602.72,1,4,9602.72,59.0
C101917,365.94,1,3,365.94,32.0
C101919,2400.68,1,2,2400.68,56.0
C101921,7502.0,1,5,7502.0,62.0
C101924,1200.32,1,2,1200.32,29.0
C101926,1200.32,1,2,1200.32,47.0
C101929,40.66,1,1,40.66,21.0
C101932,896.0,1,5,896.0,27.0
C101939,896.0,1,5,896.0,52.0
C101941,143.36,1,2,143.36,38.0
C101946,2400.68,1,2,2400.68,30.0
C101947,15004.25,1,5,15004.25,40.0
C101949,1016.5,1,5,1016.5,44.0
C101953,896.0,1,5,896.0,46.0
C101956,11.73,1,1,11.73,27.0
C101957,896.0,1,5,896.0,34.0
C101958,2700.7200000000003,1,3,2700.7200000000003,18.0
C101961,322.56,1,3,322.56,37.0
C101965,293.25,1,5,293.25,58.0
C101967,896.0,1,5,896.0,19.0
C101970,40.66,1,1,40.66,67.0
C101989,11.73,1,1,11.73,63.0
C101991,7502.0,1,5,7502.0,66.0
C101995,2700.7200000000003,1,3,2700.7200000000003,24.0
C101996,16800.0,1,4,16800.0,55.0
C102001,40.66,1,1,40.66,37.0
C102005,5.23,1,1,5.23,63.0
C102006,143.36,1,2,143.36,64.0
C102007,365.94,1,3,365.94,30.0
C102008,2700.7200000000003,1,3,2700.7200000000003,50.0
C102009,16800.0,1,4,16800.0,56.0
C102010,300.08,1,1,300.08,31.0
C102015,1200.32,1,2,1200.32,66.0
C102021,1016.5,1,5,1016.5,36.0
C102024,242.4,1,4,242.4,46.0
C102029,40.66,1,1,40.66,29.0
C102030,11.73,1,1,11.73,60.0
C102033,378.75,1,5,378.75,38.0
C102037,47.07,1,3,47.07,37.0
C102043,4801.28,1,4,4801.28,27.0
C102047,1200.32,1,2,1200.32,38.0
C102058,136.35000000000002,1,3,136.35000000000002,28.0
C102060,4801.28,1,4,4801.28,68.0
C102061,130.75,1,5,130.75,48.0
C102062,293.25,1,5,293.25,57.0
C102063,60.6,1,2,60.6,60.0
C102064,47.07,1,3,47.07,43.0
C102069,143.36,1,2,143.36,21.0
C102084,2400.68,1,2,2400.68,55.0
C102085,105.57,1,3,105.57,20.0
C102097,1050.0,1,1,1050.0,65.0
C102098,2700.7200000000003,1,3,2700.7200000000003,19.0
C102100,60.6,1,2,60.6,55.0
C102101,105.57,1,3,105.57,39.0
C102102,4801.28,1,4,4801.28,32.0
C102103,7502.0,1,5,7502.0,56.0
C102104,4801.28,1,4,4801.28,30.0
C102106,4801.28,1,4,4801.28,33.0
C102108,46.92,1,2,46.92,25.0
C102113,11.73,1,1,11.73,36.0
C102114,300.08,1,1,300.08,20.0
C102117,9450.0,1,3,9450.0,30.0
C102123,46.92,1,2,46.92,25.0
C102125,2700.7200000000003,1,3,2700.7200000000003,22.0
C102127,5.23,1,1,5.23,33.0
C102130,35.84,1,1,35.84,53.0
C102131,300.08,1,1,300.08,39.0
C102134,46.92,1,2,46.92,38.0
C102136,4801.28,1,4,4801.28,60.0
C102137,83.68,1,4,83.68,63.0
C102138,20.92,1,2,20.92,38.0
C102139,896.0,1,5,896.0,26.0
